BioSample	DATASTORE_provider	DATASTORE_region	Experiment	Instrument	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	dev_stage	tissue	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	ecotype	geo_loc_name
SAMN05170708	ncbi		SRX1795639	Illumina HiSeq 2000	2016-05-27	1177	816	SRR3581336	SRS1464009	Seedling Hypocotyl (S.H)	1 day		Hypocotyl	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170710	ncbi		SRX1795648	Illumina HiSeq 2000	2016-05-28	1165	779	SRR3581345	SRS1464017	Seedling Cotyledons (S.C)	1 day		Cotyledon	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170709	ncbi		SRX1795641	Illumina HiSeq 2000	2016-05-28	2074	1441	SRR3581346	SRS1464010	Seedling Meristem (S.M)	1 day		Shoot apical meristem	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170711	ncbi		SRX1795652	Illumina HiSeq 2000	2016-05-27	1150	790	SRR3581347	SRS1464021	Seedling Root (S.R)	1 day		Root	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170712	sra-sos	sra-sos.public	SRX1795653	Illumina HiSeq 2000	2016-05-25	1181	815	SRR3581352	SRS1464022	Root Apex (R.A)	7 day		Root Apex	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170713	ncbi		SRX1795720	Illumina HiSeq 2000	2016-05-26	1202	835	SRR3581356	SRS1464083	Root (R )	7 day		Root	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170714	ncbi		SRX1795729	Illumina HiSeq 2000	2016-05-29	1583	1078	SRR3581383	SRS1464089	Leaf Petiole of the young leaf (L.PET.y)	7 day		Leaf petiole	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170715	ncbi		SRX1795734	Illumina HiSeq 2000	2016-05-26	1124	768	SRR3581388	SRS1464093	Leaf Lamina of the young leaf (L.LAM.y)	7 day		Leaf blade	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170716	ncbi		SRX1795738	Illumina HiSeq 2000	2016-05-29	1189	805	SRR3581499	SRS1464097	Leaf Petiole, intermediate 1 (L.PET.i1)	9 day		Leaf petiole	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170717	ncbi		SRX1795740	Illumina HiSeq 2000	2016-05-30	1589	1090	SRR3581591	SRS1464099	Leaf Lamina, intermediate 1 (L.LAM.i1)	9 day		Leaf blade	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170718	ncbi		SRX1795741	Illumina HiSeq 2000	2016-05-30	1244	843	SRR3581639	SRS1464101	Leaf Petiole, intermediate 2 (L.PET.i2)	12 day		Leaf petiole	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170719	ncbi		SRX1795742	Illumina HiSeq 2000	2016-05-31	1270	863	SRR3581672	SRS1464102	Leaf Vein, intermediate 2 (L.VN.i2)	12 day		Leaf midrib	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170720	ncbi		SRX1795744	Illumina HiSeq 2000	2016-05-31	1195	811	SRR3581676	SRS1464104	Leaf Lamina, intermediate 2 (L.LAM.i2)	12 day		Leaf blade	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170721	ncbi		SRX1795746	Illumina HiSeq 2000	2016-06-01	1088	736	SRR3581678	SRS1464106	Leaf Petiole of the mature leaf (L.PET.lg)		anthesis of the first flower	Leaf petiole	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170722	ncbi		SRX1795748	Illumina HiSeq 2000	2016-06-01	1192	813	SRR3581679	SRS1464107	Leaf Vein of the mature leaf (L.VN.lg)		anthesis of the first flower	Leaf midrib	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170723	ncbi		SRX1795749	Illumina HiSeq 2000	2016-06-02	1287	878	SRR3581680	SRS1464109	Leaf Lamina of the mature leaf (L.LAM.lg)		anthesis of the first flower	Leaf blade	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170724	sra-sos	sra-sos.public	SRX1795750	Illumina HiSeq 2000	2016-06-28	1223	782	SRR3581681	SRS1464110	Leaf, mature (L.lg)		anthesis of the first flower	Leaf	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
