# Schizosaccharomyces_pombe Neurospora_crassa Trichoderma_virens Aspergillus_nidulans Saccharomyces_cerevisiae Lepisosteus_oculatus Tetraodon_nigroviridis Gadus_morhua Danio_rerio Latimeria_chalumnae Xenopus_tropicalis Gallus_gallus Tyto_alba Geospiza_fortis Monodelphis_domestica Canis_familiaris Mus_musculus Macaca_mulatta Homo_sapiens Apis_mellifera Aedes_aegypti Anopheles_gambiae Musca_domestica Drosophila_melanogaster Drosophila_ananassae Trichuris_suis Ascaris_suum Caenorhabditis_elegans Caenorhabditis_briggsae Pristionchus_pacificus Ostreococcus_tauri Micromonas_pusilla Physcomitrella_patens Selaginella_moellendorffii Oryza_sativa Zea_mays Arabidopsis_thaliana Arabidopsis_lyrata Cannabis_sativa Aquilegia_coerulea Amborella_trichopoda Naegleria_gruberi Trichomonas_vaginalis Trypanosoma_brucei Leishmania_major Plasmodium_vivax Plasmodium_falciparum Pythium_ultimum Phytophthora_ramorum Albugo_laibachii Aureococcus_anophagefferens Phaeodactylum_tricornutum Thalassiosira_pseudonana
0.000000000000000000e+00 5.900000000000000000e+02 5.900000000000000000e+02 5.900000000000000000e+02 5.900000000000000000e+02 1.105059155559999908e+03 1.105059155564999855e+03 1.105059155564999855e+03 1.105059155564999855e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155554999961e+03 1.105059155554999961e+03 1.105059155554999961e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03
5.900000000000000000e+02 0.000000000000000000e+00 3.640000000000000000e+02 3.940000000000000000e+02 5.900000000000000000e+02 1.105059155559999908e+03 1.105059155564999855e+03 1.105059155564999855e+03 1.105059155564999855e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155554999961e+03 1.105059155554999961e+03 1.105059155554999961e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03
5.900000000000000000e+02 3.640000000000000000e+02 0.000000000000000000e+00 3.940000000000000000e+02 5.900000000000000000e+02 1.105059155559999908e+03 1.105059155564999855e+03 1.105059155564999855e+03 1.105059155564999855e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155554999961e+03 1.105059155554999961e+03 1.105059155554999961e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03
5.900000000000000000e+02 3.940000000000000000e+02 3.940000000000000000e+02 0.000000000000000000e+00 5.900000000000000000e+02 1.105059155559999908e+03 1.105059155564999855e+03 1.105059155564999855e+03 1.105059155564999855e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155554999961e+03 1.105059155554999961e+03 1.105059155554999961e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03
5.900000000000000000e+02 5.900000000000000000e+02 5.900000000000000000e+02 5.900000000000000000e+02 0.000000000000000000e+00 1.105059155559999908e+03 1.105059155564999855e+03 1.105059155564999855e+03 1.105059155564999855e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155554999961e+03 1.105059155554999961e+03 1.105059155554999961e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03
1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 0.000000000000000000e+00 3.146844336849999877e+02 3.146844336849999877e+02 3.146844336849999877e+02 4.353240746199999762e+02 4.353240746200000331e+02 4.353240746149999723e+02 4.353240746149999723e+02 4.353240746149999723e+02 4.353240746200000331e+02 4.353240746199999194e+02 4.353240746199999194e+02 4.353240746199999194e+02 4.353240746199999194e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03
1.105059155564999855e+03 1.105059155564999855e+03 1.105059155564999855e+03 1.105059155564999855e+03 1.105059155564999855e+03 3.146844336849999877e+02 0.000000000000000000e+00 1.480000000000000000e+02 2.299027609700000028e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746200000331e+02 4.353240746200000331e+02 4.353240746200000331e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746249999802e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900009999816e+03 1.495763900009999816e+03 1.495763900009999816e+03 1.495763900009999816e+03 1.495763900009999816e+03 1.660000000004999947e+03 1.660000000004999947e+03 1.660000000004999947e+03 1.660000000004999947e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03
1.105059155564999855e+03 1.105059155564999855e+03 1.105059155564999855e+03 1.105059155564999855e+03 1.105059155564999855e+03 3.146844336849999877e+02 1.480000000000000000e+02 0.000000000000000000e+00 2.299027609700000028e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746200000331e+02 4.353240746200000331e+02 4.353240746200000331e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746249999802e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900009999816e+03 1.495763900009999816e+03 1.495763900009999816e+03 1.495763900009999816e+03 1.495763900009999816e+03 1.660000000004999947e+03 1.660000000004999947e+03 1.660000000004999947e+03 1.660000000004999947e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03
1.105059155564999855e+03 1.105059155564999855e+03 1.105059155564999855e+03 1.105059155564999855e+03 1.105059155564999855e+03 3.146844336849999877e+02 2.299027609700000028e+02 2.299027609700000028e+02 0.000000000000000000e+00 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746200000331e+02 4.353240746200000331e+02 4.353240746200000331e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746249999802e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900009999816e+03 1.495763900009999816e+03 1.495763900009999816e+03 1.495763900009999816e+03 1.495763900009999816e+03 1.660000000004999947e+03 1.660000000004999947e+03 1.660000000004999947e+03 1.660000000004999947e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03 1.768417840005000016e+03
1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 4.353240746199999762e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746249999802e+02 0.000000000000000000e+00 4.129886405899999886e+02 4.129886405850000415e+02 4.129886405850000415e+02 4.129886405850000415e+02 4.129886405899999886e+02 4.129886405899999886e+02 4.129886405899999886e+02 4.129886405899999886e+02 4.129886405899999886e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03
