Species, Nrbpprot, NprotRRM, NprotKH, Nmeas, NmeasRRM, NmeasKH, Nrectot, Nrecjple, Nrecid, Nrecinter, NrectotRRM, NrecjpleRRM, NrecidRRM, NrecinterRRM, NrectotKH, NrecjpleKH, NrecidKH, NrecinterKH, Nrncmptjple, Nrncmptid, Nmotifjple, Nmotifid
Acanthocheilonema_viteae,207,113,22,0,0,0,62,41,51,30,49,35,41,27,13,6,10,3,31,47,27,39
Acremonium_chrysogenum,107,64,6,0,0,0,21,15,19,13,20,14,18,12,1,1,1,1,14,19,12,16
Acyrthosiphon_pisum,498,176,31,0,0,0,90,66,84,60,69,49,65,45,20,16,18,14,44,58,35,45
Aedes_aegypti,265,151,20,0,0,0,67,54,64,51,58,45,55,42,8,8,8,8,45,54,39,45
Aegilops_tauschii,431,225,25,0,0,0,106,81,90,65,97,72,83,58,9,9,7,7,37,45,28,32
Agaricus_bisporus,197,73,8,0,0,0,19,14,16,11,18,13,15,10,1,1,1,1,14,16,13,14
Ailuropoda_melanoleuca,383,206,31,0,0,0,147,139,145,137,122,115,120,113,22,21,22,21,76,91,54,61
Albugo_laibachii,206,85,6,0,0,0,23,13,21,11,21,13,19,11,2,0,2,0,11,17,11,17
Alligator_sinensis,338,192,31,0,0,0,128,120,118,110,105,97,96,88,22,22,21,21,74,78,53,60
Allomyces_macrogynus,268,157,16,0,0,0,20,11,19,10,20,11,19,10,0,0,0,0,5,11,5,9
Alternaria_brassicicola,109,64,8,0,0,0,16,9,15,8,14,7,14,7,2,2,1,1,8,15,8,14
Amanita_muscaria,177,81,7,0,0,0,18,14,17,13,17,13,16,12,1,1,1,1,12,17,11,15
Amborella_trichopoda,345,170,30,0,0,0,88,68,80,60,79,59,72,52,9,9,8,8,39,46,30,30
Amphimedon_queenslandica,616,148,12,0,0,0,49,35,43,29,45,33,39,27,4,2,4,2,27,34,23,32
Anas_platyrhynchos,294,163,25,0,0,0,115,107,111,103,94,86,90,82,18,18,18,18,68,79,51,56
Ancylostoma_caninum,289,147,31,0,0,0,71,52,53,34,58,42,45,29,13,10,8,5,35,44,28,39
Ancylostoma_ceylanicum,193,101,19,0,0,0,53,41,40,28,42,32,31,21,11,9,9,7,32,38,25,33
Ancylostoma_duodenale,261,127,27,0,0,0,59,47,38,26,46,36,31,21,13,11,7,5,31,32,27,28
Angiostrongylus_cantonensis,130,69,18,0,0,0,43,29,35,21,34,24,27,17,9,5,8,4,25,33,20,32
Angiostrongylus_costaricensis,135,86,16,0,0,0,50,38,41,29,42,34,34,26,8,4,7,3,27,35,22,31
Anisakis_simplex,208,126,22,0,0,0,46,29,41,24,34,24,30,20,12,5,11,4,27,33,24,29
Anncaliia_algerae,59,29,1,0,0,0,3,1,2,0,3,1,2,0,0,0,0,0,1,1,1,1
Anolis_carolinensis,418,184,30,0,0,0,126,114,122,110,103,91,100,88,20,20,19,19,70,83,51,57
Anopheles_albimanus,203,119,17,0,0,0,60,48,59,47,52,40,51,39,7,7,7,7,45,55,41,48
Anopheles_arabiensis,219,120,18,0,0,0,56,48,53,45,49,41,47,39,6,6,5,5,43,50,40,42
Anopheles_atroparvus,204,121,17,0,0,0,54,47,51,44,46,39,44,37,7,7,6,6,40,47,37,42
Anopheles_christyi,183,101,18,0,0,0,50,41,46,37,42,33,40,31,7,7,5,5,40,43,34,39
Anopheles_coluzzii,191,114,15,0,0,0,52,45,46,39,46,39,42,35,5,5,3,3,40,44,36,40
Anopheles_culicifacies,212,119,19,0,0,0,56,51,49,44,47,42,42,37,8,8,6,6,44,47,38,41
Anopheles_darlingi,193,109,19,0,0,0,57,48,56,47,49,40,49,40,7,7,6,6,45,51,39,45
Anopheles_dirus,212,121,18,0,0,0,57,47,53,43,50,40,47,37,6,6,5,5,42,50,38,45
Anopheles_epiroticus,214,119,17,0,0,0,58,48,55,45,51,41,49,39,6,6,5,5,43,51,39,43
Anopheles_farauti,209,119,19,0,0,0,61,50,53,42,54,43,47,36,6,6,5,5,41,51,37,45
Anopheles_funestus,223,122,21,0,0,0,63,54,54,45,53,44,46,37,9,9,7,7,46,52,41,44
Anopheles_gambiae,221,130,20,0,0,0,60,49,59,48,52,42,51,41,8,7,8,7,45,55,41,44
Anopheles_maculatus,178,98,17,0,0,0,45,37,38,30,36,28,31,23,8,8,6,6,33,35,30,31
Anopheles_melas,223,124,21,0,0,0,56,49,53,46,48,41,46,39,7,7,6,6,39,46,36,42
Anopheles_merus,191,110,18,0,0,0,46,39,44,37,40,33,39,32,6,6,5,5,35,42,32,38
Anopheles_minimus,216,118,20,0,0,0,62,52,56,46,53,43,49,39,8,8,6,6,46,52,41,43
Anopheles_quadriannulatus,218,120,19,0,0,0,57,50,50,43,49,42,44,37,7,7,5,5,44,47,40,41
Anopheles_sinensis,178,105,10,0,0,0,42,36,41,35,37,31,36,30,4,4,4,4,34,39,31,34
Anopheles_stephensi,222,120,18,0,0,0,59,49,56,46,51,41,49,39,7,7,6,6,44,51,39,45
Apis_mellifera,218,121,20,0,0,0,66,53,60,47,56,45,51,40,9,7,8,6,48,56,42,50
Aptenodytes_forsteri,293,158,25,0,0,0,114,106,111,103,93,85,90,82,18,18,18,18,70,75,51,56
Aquilegia_coerulea,405,197,26,0,0,0,105,85,96,76,94,74,88,68,11,11,8,8,44,48,32,34
Arabidopsis_lyrata,543,288,28,0,0,0,138,111,128,101,127,101,118,92,11,10,10,9,48,54,35,37
Arabidopsis_thaliana,469,248,28,5,5,0,130,101,124,95,119,91,114,86,11,10,10,9,47,54,34,36
Arthrobotrys_oligospora,119,70,9,0,0,0,22,13,22,13,21,12,21,12,1,1,1,1,13,21,12,19
Arthroderma_benhamiae,97,63,7,0,0,0,15,12,14,11,14,11,13,10,1,1,1,1,12,14,11,14
Arthroderma_otae,104,65,7,0,0,0,18,13,16,11,17,12,15,10,1,1,1,1,13,16,12,14
Ascaris_lumbricoides,150,88,20,0,0,0,49,39,33,23,40,34,27,21,9,5,6,2,26,26,21,23
Ascaris_suum,234,131,25,0,0,0,73,47,69,43,59,41,55,37,14,6,14,6,32,51,30,44
Ashbya_gossypii,89,52,6,0,0,0,10,8,9,7,10,8,9,7,0,0,0,0,8,9,8,9
Aspergillus_carbonarius,105,69,7,0,0,0,20,14,19,13,19,13,18,12,1,1,1,1,13,19,13,16
Aspergillus_clavatus,114,69,5,0,0,0,20,12,19,11,19,11,18,10,1,1,1,1,12,19,12,16
Aspergillus_flavus,108,64,6,0,0,0,19,11,16,8,18,10,15,7,1,1,1,1,11,15,11,13
Aspergillus_fumigatus,104,66,5,0,0,0,18,12,17,11,17,11,16,10,1,1,1,1,12,17,12,15
Aspergillus_nidulans,111,68,7,2,1,1,21,15,19,13,20,14,18,12,1,1,1,1,15,19,14,16
Aspergillus_niger,112,66,6,0,0,0,20,14,18,12,19,13,17,11,1,1,1,1,14,18,13,15
Aspergillus_oryzae,115,69,6,0,0,0,22,15,19,12,21,14,18,11,1,1,1,1,14,18,13,15
Aspergillus_ruber,119,71,7,0,0,0,19,12,18,11,18,11,17,10,1,1,1,1,12,18,12,16
Aspergillus_terreus,104,61,6,0,0,0,18,14,16,12,17,13,15,11,1,1,1,1,13,16,12,14
Astyanax_mexicanus,439,241,41,0,0,0,175,161,163,149,146,133,138,125,28,27,25,24,73,89,52,60
Atta_cephalotes,231,130,19,0,0,0,66,56,50,40,55,47,40,32,10,8,9,7,50,47,40,41
Aureobasidium_melanogenum,115,68,9,0,0,0,20,12,20,12,19,11,19,11,1,1,1,1,12,20,12,18
Aureobasidium_pullulans,114,70,8,0,0,0,20,12,20,12,19,11,19,11,1,1,1,1,12,20,12,18
Aureobasidium_subglaciale,114,69,8,0,0,0,20,12,20,12,19,11,19,11,1,1,1,1,12,20,12,18
Aureococcus_anophagefferens,142,73,11,0,0,0,11,8,10,7,11,8,10,7,0,0,0,0,6,9,6,8
Babesia_bovis,85,56,4,0,0,0,15,8,13,6,15,8,13,6,0,0,0,0,7,13,7,12
Batrachochytrium_dendrobatidis,124,75,7,1,1,0,20,15,19,14,19,14,18,13,1,1,1,1,13,17,13,15
Baudoinia_compniacensis,112,65,9,0,0,0,19,10,19,10,18,9,18,9,1,1,1,1,10,19,8,17
Beauveria_bassiana,112,64,7,0,0,0,22,14,21,13,21,13,20,12,1,1,1,1,14,21,12,18
Bigelowiella_natans,375,141,19,0,0,0,21,10,19,8,19,10,17,8,2,0,2,0,9,17,8,16
Biomphalaria_glabrata,154,79,15,0,0,0,46,33,39,26,40,28,35,23,6,5,4,3,28,34,23,29
Bipolaris_maydis,109,68,7,0,0,0,19,11,17,9,18,10,16,8,1,1,1,1,11,17,10,14
Bipolaris_oryzae,111,68,7,0,0,0,19,11,18,10,18,10,17,9,1,1,1,1,11,18,10,15
Bipolaris_sorokiniana,120,68,7,0,0,0,18,11,17,10,17,10,16,9,1,1,1,1,11,17,11,14
Bipolaris_victoriae,112,68,8,0,0,0,18,10,18,10,17,9,17,9,1,1,1,1,10,18,10,15
Bipolaris_zeicola,115,67,8,0,0,0,17,10,17,10,16,9,16,9,1,1,1,1,10,17,10,15
Blastomyces_dermatitidis,117,68,8,0,0,0,19,14,18,13,18,13,17,12,1,1,1,1,13,18,13,16
Blumeria_graminis,102,59,7,0,0,0,20,15,19,14,19,14,18,13,1,1,1,1,15,19,13,17
Boechera_stricta,451,228,31,0,0,0,132,108,124,100,119,96,113,90,13,12,11,10,48,57,34,39
Bombyx_mori,211,112,18,0,0,0,56,46,50,40,48,40,43,35,8,6,7,5,40,45,34,39
Bos_grunniens,395,219,30,0,0,0,159,150,158,149,134,127,133,126,22,20,22,20,80,92,54,60
Bos_taurus,385,215,31,0,0,0,153,141,151,139,127,117,125,115,23,21,23,21,79,97,56,64
Botryobasidium_botryosum,159,81,8,0,0,0,18,11,17,10,17,10,16,9,1,1,1,1,11,17,11,14
Botrytis_cinerea,120,71,7,0,0,0,19,17,18,16,18,16,17,15,1,1,1,1,16,18,15,16
Brachypodium_distachyon,477,233,26,0,0,0,119,92,111,84,108,81,102,75,11,11,9,9,38,47,29,31
Branchiostoma_floridae,1172,229,28,0,0,0,117,96,108,87,104,85,95,76,13,11,13,11,54,62,42,45
Brassica_oleracea,946,450,43,0,0,0,221,183,197,159,202,165,184,147,19,18,13,12,46,54,33,34
Brassica_rapa,733,387,35,0,0,0,212,173,194,155,192,154,179,141,20,19,15,14,47,54,33,35
Brettanomyces_bruxellensis,70,46,6,0,0,0,8,4,7,3,8,4,7,3,0,0,0,0,4,7,4,7
Brugia_malayi,221,126,27,0,0,0,64,44,57,37,51,37,45,31,13,7,12,6,30,48,27,41
Brugia_timori,174,103,18,0,0,0,34,25,23,14,30,22,19,11,4,3,4,3,22,22,19,19
Buceros_rhinoceros,241,134,21,0,0,0,90,85,86,81,73,68,69,64,14,14,14,14,60,65,47,50
Bursaphelenchus_xylophilus,197,100,23,0,0,0,50,33,46,29,38,27,35,24,12,6,11,5,30,43,26,35
Byssochlamys_spectabilis,105,63,7,0,0,0,19,14,17,12,18,13,16,11,1,1,1,1,13,17,13,14
Caenorhabditis_brenneri,316,164,36,0,0,0,84,66,82,64,67,53,65,51,17,13,17,13,41,54,35,45
Caenorhabditis_briggsae,266,124,28,7,6,0,66,50,62,46,54,43,50,39,12,7,12,7,43,55,36,45
Caenorhabditis_elegans,232,110,28,28,21,5,63,50,62,49,51,41,50,40,12,9,12,9,43,56,37,47
Caenorhabditis_japonica,474,130,30,0,0,0,67,53,60,46,55,45,50,40,12,8,10,6,41,53,37,47
Caenorhabditis_remanei,396,160,49,0,0,0,84,62,81,59,64,48,63,47,20,14,18,12,42,54,36,45
Callithrix_jacchus,499,297,39,0,0,0,232,216,227,211,201,186,197,182,28,27,27,26,82,96,55,65
Calypte_anna,298,163,28,0,0,0,114,105,110,101,92,83,88,79,19,19,19,19,69,77,50,55
Camponotus_floridanus,291,114,17,0,0,0,58,50,53,45,49,42,45,38,8,7,7,6,46,52,39,45
Candida_albicans,175,102,13,0,0,0,22,12,20,10,20,10,20,10,2,2,0,0,6,11,5,10
Candida_dubliniensis,96,57,7,0,0,0,12,6,12,6,12,6,12,6,0,0,0,0,5,12,4,12
Candida_glabrata,90,53,6,0,0,0,11,9,8,6,11,9,8,6,0,0,0,0,7,7,7,7
Candida_guilliermondii,79,47,5,0,0,0,11,6,11,6,11,6,11,6,0,0,0,0,5,10,4,10
Candida_lusitaniae,83,47,7,0,0,0,12,6,10,4,12,6,10,4,0,0,0,0,6,10,6,10
Candida_maltosa,85,53,7,0,0,0,11,7,10,6,11,7,10,6,0,0,0,0,6,10,5,10
Candida_orthopsilosis,86,52,6,0,0,0,13,8,11,6,12,7,11,6,1,1,0,0,7,11,6,11
Candida_parapsilosis,84,50,6,0,0,0,13,7,12,6,13,7,12,6,0,0,0,0,6,11,5,11
Candida_tenuis,77,51,7,0,0,0,9,6,8,5,9,6,8,5,0,0,0,0,5,8,5,8
Candida_tropicalis,86,50,6,0,0,0,12,8,10,6,12,8,10,6,0,0,0,0,7,10,6,10
Canis_familiaris,411,229,33,0,0,0,170,160,168,158,144,134,142,132,23,23,23,23,79,92,56,64
Cannabis_sativa,406,204,28,32,27,5,101,86,93,78,92,77,84,69,9,9,9,9,49,50,36,35
Capitella_teleta,402,155,18,0,0,0,66,45,65,44,58,39,57,38,8,6,8,6,41,59,35,44
Capronia_coronata,108,62,7,0,0,0,17,11,17,11,16,10,16,10,1,1,1,1,11,17,11,15
Capronia_epimyces,108,65,7,0,0,0,17,11,17,11,16,10,16,10,1,1,1,1,11,17,11,14
Capronia_semiimmersa,114,66,7,0,0,0,20,13,18,11,19,12,17,10,1,1,1,1,13,18,11,15
Capsaspora_owczarzaki,139,76,4,0,0,0,16,8,16,8,16,8,16,8,0,0,0,0,8,16,8,16
Capsella_grandiflora,449,233,26,0,0,0,127,98,120,91,116,88,110,82,11,10,10,9,47,56,34,38
Capsella_rubella,468,249,27,0,0,0,131,106,123,98,120,96,113,89,11,10,10,9,49,53,35,35
Carica_papaya,363,163,26,0,0,0,91,80,79,68,82,71,72,61,9,9,7,7,42,46,32,32
Cavia_porcellus,378,209,32,0,0,0,150,138,147,135,123,113,121,111,24,22,23,21,77,91,53,62
Ceriporiopsis_subvermispora,138,68,7,0,0,0,15,13,14,12,14,12,13,11,1,1,1,1,13,14,11,12
Chaetomium_globosum,152,65,6,0,0,0,22,16,19,13,21,15,18,12,1,1,1,1,15,19,14,18
Chaetomium_thermophilum,108,66,7,0,0,0,22,15,21,14,21,14,20,13,1,1,1,1,15,21,14,18
Chelonia_mydas,299,170,23,0,0,0,121,114,113,106,101,94,93,86,18,18,18,18,78,87,55,62
Chlamydomonas_reinhardtii,132,84,9,0,0,0,23,16,19,12,22,16,18,12,1,0,1,0,15,18,13,17
Chlorella_NC64A,173,94,13,0,0,0,19,16,15,12,19,16,15,12,0,0,0,0,16,14,14,13
Chlorella_vulgaris,143,84,9,0,0,0,22,16,19,13,22,16,19,13,0,0,0,0,15,18,15,16
Chlorocebus_sabaeus,380,211,34,0,0,0,154,141,150,137,125,113,122,110,26,25,25,24,76,93,55,62
Choloepus_hoffmanni,253,133,21,0,0,0,96,91,87,82,79,74,74,69,16,16,12,12,60,63,44,49
Chroomonas_mesostigmatica,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cicer_arietinum,490,228,39,0,0,0,128,104,119,95,117,93,109,85,11,11,10,10,47,55,34,36
Cimex_lectularius,226,104,20,0,0,0,59,51,54,46,49,41,45,37,10,10,9,9,47,50,38,40
Ciona_intestinalis,210,112,13,0,0,0,64,50,59,45,57,45,53,41,6,5,5,4,41,53,34,45
Ciona_savignyi,163,95,15,0,0,0,53,42,46,35,47,39,41,33,5,3,4,2,36,42,31,37
Citrullus_lanatus,337,173,23,0,0,0,99,89,91,81,91,81,84,74,8,8,7,7,49,51,36,35
Citrus_clementina,393,194,25,0,0,0,109,92,96,79,100,83,89,72,9,9,7,7,47,48,35,33
Citrus_sinensis,384,189,23,0,0,0,109,91,94,76,99,81,86,68,10,10,8,8,45,49,35,34
Cladophialophora_bantiana,112,68,7,0,0,0,19,11,19,11,18,10,18,10,1,1,1,1,11,19,11,17
Cladophialophora_carrionii,111,66,7,0,0,0,20,13,18,11,19,12,17,10,1,1,1,1,13,18,11,15
Cladophialophora_immunda,117,63,7,0,0,0,18,11,18,11,17,10,17,10,1,1,1,1,11,18,11,16
Cladophialophora_psammophila,114,68,7,0,0,0,21,12,19,10,20,11,18,9,1,1,1,1,11,19,10,17
Cladophialophora_yegresii,108,63,6,0,0,0,17,12,15,10,16,11,14,9,1,1,1,1,12,15,11,13
Claviceps_purpurea,115,61,7,0,0,0,21,15,19,13,20,14,18,12,1,1,1,1,15,19,13,16
Clavispora_lusitaniae,83,47,7,0,0,0,12,6,10,4,12,6,10,4,0,0,0,0,6,10,6,10
Clonorchis_sinensis,216,113,20,0,0,0,54,45,46,37,49,40,42,33,5,5,4,4,32,40,25,30
Coccidioides_immitis,111,66,7,0,0,0,21,13,21,13,20,12,20,12,1,1,1,1,13,21,12,19
Coccidioides_posadasii,115,66,7,0,0,0,21,13,21,13,20,12,20,12,1,1,1,1,13,21,12,19
Coccomyxa_subellipsoidea_C169,146,81,9,0,0,0,23,17,21,15,23,17,21,15,0,0,0,0,16,20,16,18
Cochliobolus_heterostrophus_C5,119,57,7,0,0,0,17,10,15,8,16,9,14,7,1,1,1,1,10,15,10,13
Colletotrichum_fioriniae,110,65,7,0,0,0,20,15,19,14,19,14,18,13,1,1,1,1,14,19,13,16
Colletotrichum_gloeosporioides,109,63,7,0,0,0,20,15,19,14,19,14,18,13,1,1,1,1,14,19,13,16
Colletotrichum_graminicola,110,65,8,0,0,0,21,14,20,13,20,13,19,12,1,1,1,1,13,20,12,17
Colletotrichum_higginsianum,116,66,9,0,0,0,21,18,17,14,20,17,16,13,1,1,1,1,15,16,14,14
Colletotrichum_orbiculare,109,63,8,0,0,0,18,13,17,12,17,12,16,11,1,1,1,1,13,17,11,16
Colletotrichum_sublineola,106,62,8,0,0,0,20,14,19,13,19,13,18,12,1,1,1,1,13,19,12,16
Coniosporium_apollinis,113,66,7,0,0,0,19,13,18,12,18,12,17,11,1,1,1,1,13,18,11,16
Coprinopsis_cinerea,142,77,7,0,0,0,18,14,17,13,17,13,16,12,1,1,1,1,14,17,13,15
Cordyceps_militaris,101,60,7,0,0,0,21,13,19,11,20,12,18,10,1,1,1,1,13,19,11,17
Crassostrea_gigas,1024,132,21,0,0,0,59,44,56,41,49,37,46,34,10,7,10,7,35,53,30,45
Cryphonectria_parasitica,107,70,9,0,0,0,21,15,19,13,20,14,18,12,1,1,1,1,14,19,13,17
Cryptococcus_gattii,109,65,7,0,0,0,12,6,12,6,11,5,11,5,1,1,1,1,6,12,6,10
Cryptococcus_neoformans,114,66,7,0,0,0,14,7,14,7,13,6,13,6,1,1,1,1,7,14,7,12
Cryptosporidium_hominis,68,41,6,0,0,0,8,3,7,2,8,3,7,2,0,0,0,0,3,7,3,7
Cryptosporidium_muris,86,52,6,0,0,0,9,3,8,2,9,3,8,2,0,0,0,0,3,8,3,8
Cryptosporidium_parvum,78,48,6,0,0,0,10,5,7,2,10,5,7,2,0,0,0,0,5,7,5,7
Cucumis_sativus,331,164,23,0,0,0,99,86,89,76,89,76,81,68,10,10,8,8,48,49,37,33
Culex_pipiens,387,239,25,0,0,0,65,53,57,45,54,42,50,38,10,10,6,6,41,48,38,43
Culex_quinquefasciatus,299,179,26,0,0,0,66,54,58,46,54,42,50,38,11,11,7,7,42,49,38,43
Cyanidioschyzon_merolae,54,29,3,0,0,0,4,3,3,2,3,3,2,2,1,0,1,0,2,2,2,2
Cylicostephanus_goldi,101,53,14,0,0,0,14,12,8,6,12,10,8,6,2,2,0,0,12,8,12,8
Cyphellophora_europaea,112,67,7,0,0,0,20,13,20,13,19,12,19,12,1,1,1,1,13,20,11,19
Dacryopinax_sp,109,66,7,0,0,0,18,12,16,10,17,11,15,9,1,1,1,1,12,16,11,14
Dactylellina_haptotyla,115,70,8,0,0,0,22,14,21,13,21,13,20,12,1,1,1,1,13,21,12,19
Danaus_plexippus,237,119,18,0,0,0,66,55,61,50,55,45,52,42,10,9,8,7,44,52,36,45
Danio_rerio,478,258,35,11,9,2,173,157,167,151,146,131,140,125,24,23,24,23,70,93,50,62
Daphnia_pulex,474,169,48,0,0,0,63,47,60,44,54,40,51,37,9,7,9,7,43,57,36,48
Dasypus_novemcinctus,481,279,44,0,0,0,219,204,213,198,183,169,179,165,33,32,31,30,79,93,54,64
Debaryomyces_hansenii,95,54,6,0,0,0,13,8,11,6,12,7,11,6,1,1,0,0,7,11,6,11
Dendroctonus_ponderosae,214,117,17,0,0,0,58,47,55,44,50,39,48,37,7,7,6,6,42,49,37,40
Dichomitus_squalens,68,38,6,0,0,0,6,4,5,3,6,4,5,3,0,0,0,0,4,5,4,5
Dictyocaulus_viviparus,172,99,25,0,0,0,64,44,57,37,51,38,45,32,13,6,12,5,31,51,26,44
Dictyostelium_discoideum,143,91,4,4,4,0,19,11,16,8,19,11,16,8,0,0,0,0,9,15,8,14
Dictyostelium_purpureum,141,82,3,0,0,0,17,11,16,10,16,11,15,10,1,0,1,0,11,15,10,15
Diphyllobothrium_latum,230,175,15,0,0,0,35,27,25,17,32,24,23,15,3,3,2,2,21,23,19,21
Dipodomys_ordii,295,162,23,0,0,0,117,110,110,103,98,91,92,85,16,16,15,15,73,83,53,57
Dirofilaria_immitis,219,125,25,0,0,0,62,43,54,35,51,37,45,31,11,6,9,4,33,48,28,41
Dothistroma_septosporum,115,73,8,0,0,0,19,14,19,14,18,13,18,13,1,1,1,1,14,19,12,17
Dracunculus_medinensis,149,87,12,0,0,0,41,25,35,19,33,20,28,15,8,5,7,4,23,35,21,31
Drechslerella_stenobrocha,74,41,7,0,0,0,17,12,16,11,16,11,15,10,1,1,1,1,12,16,11,14
Drosophila_ananassae,212,123,23,0,0,0,79,72,73,66,65,59,60,54,14,13,13,12,59,66,50,51
Drosophila_erecta,215,128,23,0,0,0,81,75,78,72,67,62,64,59,14,13,14,13,62,70,50,54
Drosophila_grimshawi,213,126,24,0,0,0,77,66,72,61,64,53,59,48,13,13,13,13,57,62,49,47
Drosophila_melanogaster,237,132,26,61,45,8,83,76,82,75,66,60,65,59,16,15,16,15,62,69,50,52
Drosophila_mojavensis,208,126,22,0,0,0,75,67,72,64,63,55,60,52,12,12,12,12,57,64,48,49
Drosophila_persimilis,239,115,20,0,0,0,68,64,61,57,56,52,50,46,12,12,11,11,55,54,47,39
Drosophila_pseudoobscura,232,122,22,0,0,0,73,65,68,60,60,53,55,48,13,12,13,12,55,60,47,44
Drosophila_sechellia,220,133,27,0,0,0,82,79,77,74,64,61,60,57,18,18,17,17,60,64,49,49
